month_day,mean_temp_c,max_temp_c,mean_humidity_pct
09-27,28.59,32.46,82.77
09-28,28.74,32.68,82.94
09-29,28.94,32.84,82.7
09-30,28.95,32.58,82.12
10-01,28.35,32.16,84.81
10-02,27.66,31.12,85.72
10-03,26.83,29.48,89.79
10-04,27.01,30.54,88.62
10-05,26.86,30.36,88.95
10-06,27.26,31.24,87.67
10-07,27.46,31.0,86.6
10-08,27.94,31.66,85.25
10-09,27.67,31.02,86.88
10-10,27.67,31.38,85.92
10-11,27.94,32.0,83.58
10-12,27.68,31.48,84.39
10-13,27.71,31.94,80.5
10-14,27.93,32.18,78.69
10-15,28.13,32.52,77.67
10-16,28.01,32.1,76.09
10-17,27.8,32.06,77.56
10-18,26.99,31.08,81.49
10-19,27.05,30.96,79.2
10-20,26.91,31.48,76.12
10-21,26.97,31.98,74.37
10-22,27.46,32.52,74.09
10-23,26.96,30.86,78.21
10-24,26.02,29.08,80.58
10-25,26.5,30.86,76.31
10-26,26.68,30.92,76.4
10-27,26.93,31.48,74.04
10-28,26.44,31.22,73.12
10-29,26.58,31.56,74.0
10-30,26.65,31.56,74.26
10-31,27.02,31.62,73.31
11-01,26.84,31.68,72.93
11-02,26.12,30.74,72.92
11-03,25.55,30.32,73.34
11-04,25.33,30.58,71.47
11-05,25.28,30.4,73.32
11-06,24.92,30.14,72.46
11-07,24.81,30.26,71.31
11-08,24.77,30.3,68.05
11-09,24.34,30.28,68.6
11-10,24.38,30.16,67.73
11-11,24.32,30.18,66.48
11-12,24.38,30.08,67.54
11-13,23.83,28.78,71.13
11-14,23.8,29.06,70.25
11-15,23.85,28.78,70.03
11-16,23.73,28.78,71.26
11-17,22.86,27.88,70.73
11-18,22.98,28.78,69.65
11-19,23.15,29.1,70.89
11-20,23.53,29.14,67.41
11-21,23.36,28.82,67.02
11-22,22.98,28.4,68.7
11-23,22.85,28.54,70.07
11-24,22.79,28.36,67.3
11-25,22.44,28.4,69.01
11-26,22.36,28.32,67.89
11-27,22.31,28.52,69.58
11-28,22.78,28.9,65.97
11-29,23.24,28.98,65.83
11-30,23.28,29.0,66.94
12-01,22.88,28.84,67.92
12-02,22.68,28.36,66.74
12-03,22.15,28.22,67.0
12-04,21.95,27.28,71.15
12-05,21.8,26.2,72.84
12-06,21.24,25.46,73.75
12-07,20.97,25.42,74.22
12-08,21.07,26.56,73.03
12-09,21.0,26.64,73.35
12-10,21.03,26.52,71.28
12-11,20.35,26.28,70.84
12-12,20.08,25.92,71.03
12-13,19.98,25.92,70.9
12-14,19.76,25.78,71.45
12-15,19.46,25.58,71.54
12-16,19.5,25.66,71.82
12-17,19.91,26.22,70.06
12-18,19.82,26.14,73.38
12-19,19.75,25.52,71.62
12-20,19.58,25.18,71.44
12-21,19.49,24.64,74.38
12-22,19.94,25.7,74.73
12-23,19.59,25.44,72.57
12-24,19.46,25.04,71.68
12-25,19.79,25.36,70.14
12-26,19.98,25.9,71.34
12-27,19.81,25.26,73.7
12-28,19.39,25.36,74.91
12-29,18.77,24.64,73.38
12-30,18.64,24.14,75.01
12-31,18.46,23.92,75.03
